Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,3.739900,3.795670,3.629300,3.646550,3.646550,0
2018-08-01,3.655260,3.839360,3.637270,3.685360,3.685360,0
2018-09-01,3.708000,3.747570,3.631980,3.687600,3.687600,0
2018-10-01,3.689760,3.835500,3.678530,3.816900,3.816900,0
2018-11-01,3.836590,3.838300,3.707300,3.762120,3.762120,0
2018-12-01,3.788000,3.812500,3.729190,3.756850,3.756850,0
2019-01-01,3.745500,3.799600,3.702600,3.729800,3.729800,0
2019-02-01,3.722290,3.858640,3.719170,3.790800,3.790800,0
2019-03-01,3.782760,3.856100,3.730500,3.836500,3.836500,0
2019-04-01,3.832800,3.863300,3.735600,3.837600,3.837600,0
2019-05-01,3.821000,3.876090,3.772900,3.852510,3.852510,0
2019-06-01,3.833600,3.835350,3.725660,3.732600,3.732600,0
2019-07-01,3.734400,3.859200,3.727200,3.851400,3.851400,0
2019-08-01,3.871080,3.996630,3.840220,3.966400,3.966400,0
2019-09-01,3.966600,4.021310,3.894860,4.005100,4.005100,0
2019-10-01,4.008700,4.023700,3.810280,3.817320,3.817320,0
2019-11-01,3.821300,3.933000,3.803520,3.913800,3.913800,0
2019-12-01,3.914800,3.933200,3.784760,3.797400,3.797400,0
2020-01-01,3.805500,3.902840,3.778750,3.892900,3.892900,0
2020-02-01,3.871900,3.981820,3.849400,3.926800,3.926800,0
2020-03-01,3.926800,4.306310,3.756050,4.117400,4.117400,0
2020-04-01,4.134950,4.252580,4.102820,4.180400,4.180400,0
2020-05-01,4.149200,4.240550,3.987640,4.004900,4.004900,0
2020-06-01,3.993900,3.996260,3.886100,3.959700,3.959700,0
2020-07-01,3.957080,3.986350,3.698400,3.710100,3.710100,0
2020-08-01,3.743700,3.778180,3.659600,3.679400,3.679400,0
2020-09-01,3.681700,3.938800,3.655320,3.854100,3.854100,0
2020-10-01,3.864200,3.968650,3.771050,3.957820,3.957820,0
2020-11-01,3.957700,3.969560,3.741600,3.748700,3.748700,0
2020-11-26,3.743630,3.765400,3.737000,3.755040,3.755040,0
